January, Groceries, 200
January, Utilities, 100
January, Rent, 1200
January, Internet, 60
January, Transportation, 150
January, Entertainment, 300
January, Miscellaneous, 50

February, Groceries, 250
February, Utilities, 90
February, Rent, 1200
February, Internet, 60
February, Transportation, 120
February, Entertainment, 400
February, Miscellaneous, 30

March, Groceries, 300
March, Utilities, 110
March, Rent, 1200
March, Internet, 60
March, Transportation, 180
March, Entertainment, 500
March, Miscellaneous, 70

April, Groceries, 350
April, Utilities, 95
April, Rent, 1200
April, Internet, 60
April, Transportation, 140
April, Entertainment, 450
April, Miscellaneous, 40

May, Groceries, 400
May, Utilities, 120
May, Rent, 1200
May, Internet, 60
May, Transportation, 200
May, Entertainment, 550
May, Miscellaneous, 80

June, Groceries, 450
June, Utilities, 100
June, Rent, 1200
June, Internet, 60
June, Transportation, 170
June, Entertainment, 600
June, Miscellaneous, 90

July, Groceries, 500
July, Utilities, 130
July, Rent, 1200
July, Internet, 60
July, Transportation, 190
July, Entertainment, 650
July, Miscellaneous, 100

August, Groceries, 550
August, Utilities, 120
August, Rent, 1200
August, Internet, 60
August, Transportation, 200
August, Entertainment, 700
August, Miscellaneous, 110

September, Groceries, 600
September, Utilities, 140
September, Rent, 1200
September, Internet, 60
September, Transportation, 210
September, Entertainment, 750
September, Miscellaneous, 120

October, Groceries, 650
October, Utilities, 130
October, Rent, 1200
October, Internet, 60
October, Transportation, 220
October, Entertainment, 800
October, Miscellaneous, 130

November, Groceries, 700
November, Utilities, 150
November, Rent, 1200
November, Internet, 60
November, Transportation, 230
November, Entertainment, 850
November, Miscellaneous, 140

December, Groceries, 750
December, Utilities, 160
December, Rent, 1200
December, Internet, 60
December, Transportation, 240
December, Entertainment, 900
December, Miscellaneous, 150
